reactiveSite,EC1,EC2,EC3,EC4,EC5,EC6
17|17|18|28|29|4|44|,0,0,0,1,0,0
17|17|18|28|39|44|44|,0,0,1,0,0,0
17|17|18|28|3|39|44|,0,0,1,0,0,0
17|17|18|28|3|3|39|,0,0,1,0,0,0
17|17|18|28|44|44|,1,0,0,0,0,0
17|17|18|29|29|3|3|3|44|,0,0,0,1,0,0
17|17|18|29|29|44|,0,0,0,1,0,0
17|17|18|29|44|,0,1,0,1,0,0
17|17|18|29|44|8|,0,0,0,1,0,0
17|17|18|32|44|44|,1,0,0,0,0,0
17|17|18|36|44|44|,1,0,0,0,0,0
17|17|18|37|44|44|,1,0,0,0,0,0
17|17|18|39|43|44|,0,0,0,1,0,0
17|17|18|39|44|57|,0,0,0,1,0,0
17|17|18|39|44|7|,0,0,0,1,0,0
17|17|18|39|44|8|,0,0,0,1,0,0
17|17|18|3|3|31|44|44|5|,1,0,0,0,0,0
17|17|19|19|19|19|27|27|41|44|,0,0,0,0,1,0
17|17|19|19|19|19|27|29|41|44|,0,0,0,0,1,0
17|17|19|19|19|20|27|27|41|44|,0,0,0,0,1,0
17|17|19|19|19|20|27|29|41|44|,0,0,0,0,1,0
17|17|19|19|20|20|27|27|41|44|,0,0,0,0,1,0
17|17|19|19|20|20|27|29|41|44|,0,0,0,0,1,0
17|17|19|19|20|27|29|29|29|29|44|,0,0,0,0,1,0
17|17|19|19|20|27|29|44|44|,0,0,0,1,0,0
17|17|19|19|27|27|27|29|41|41|44|,0,0,0,1,0,0
17|17|19|19|27|29|29|44|44|,0,0,0,1,0,0
17|17|19|19|27|29|3|44|,0,1,0,0,0,0
17|17|19|19|27|29|41|44|,0,1,0,0,0,0
17|17|19|19|39|44|,0,0,0,0,1,0
17|17|19|20|20|20|27|27|41|44|,0,0,0,0,1,0
17|17|19|20|20|20|27|29|41|44|,0,0,0,0,1,0
17|17|19|20|27|29|29|44|44|,0,0,0,1,0,0
17|17|19|20|39|44|,0,0,0,0,1,0
17|17|19|22|28|29|3|44|,1,0,0,0,0,0
