EC1,EC2,EC3,EC4,EC5,EC6
17;17;32;32;44;44;,,,22;22;3;3;3;3;,,
17;17;32;36;44;44;,,,22;22;3;3;3;44;,,
17;17;32;37;44;44;,,,22;22;3;3;44;44;,,
17;17;36;37;44;44;,,,22;22;3;44;44;44;,,
17;17;37;37;44;44;,,,22;22;44;44;44;44;,,
17;18;18;19;44;44;,,,22;26;3;3;3;3;,,
17;18;18;25;44;44;,,,22;26;3;3;3;44;,,
17;18;19;22;44;44;,,,22;26;3;3;44;44;,,
17;18;19;26;44;44;,,,22;26;3;44;44;44;,,
17;18;19;28;44;44;,,,22;26;44;44;44;44;,,
17;18;19;32;44;44;,,,26;26;3;3;3;3;,,
17;18;19;36;44;44;,,,26;26;3;3;3;44;,,
17;18;19;37;44;44;,,,26;26;3;3;44;44;,,
17;18;22;25;44;44;,,,26;26;3;44;44;44;,,
17;18;25;26;44;44;,,,26;26;44;44;44;44;,,
17;18;25;28;44;44;,,,18;18;18;26;31;,,
17;18;25;32;44;44;,,,18;18;26;26;31;,,
17;18;25;36;44;44;,,,18;18;19;19;28;28;39;44;44;44;44;,,
17;18;25;37;44;44;,,,11;17;18;19;19;28;29;39;,,
17;19;22;26;44;44;,,,11;17;18;19;28;29;39;44;,,
17;19;22;32;44;44;,,,17;18;19;19;27;28;29;39;,,
17;19;22;37;44;44;,,,17;18;19;19;28;29;39;8;,,
17;19;26;26;44;44;,,,17;18;19;27;28;29;39;44;,,
17;19;26;28;44;44;,,,17;18;19;28;29;39;44;8;,,
17;19;26;32;44;44;,,,11;11;17;18;19;19;28;29;39;44;,,
17;19;26;36;44;44;,,,11;11;17;18;19;28;29;39;44;44;,,
17;19;26;37;44;44;,,,11;17;18;19;19;28;29;29;39;44;,,
17;19;28;32;44;44;,,,11;17;18;19;19;28;29;39;44;72;,,
17;19;28;37;44;44;,,,11;17;18;19;28;29;29;39;44;44;,,
17;19;32;32;44;44;,,,11;17;18;19;28;29;39;44;44;72;,,
17;19;32;36;44;44;,,,17;18;19;19;28;29;29;29;39;44;,,
17;19;32;37;44;44;,,,17;18;19;19;28;29;29;39;44;72;,,
17;19;36;37;44;44;,,,17;18;19;28;29;29;29;39;44;44;,,
17;19;37;37;44;44;,,,17;18;19;28;29;29;39;44;44;72;,,
17;22;25;26;44;44;,,,18;18;18;18;,,
17;22;25;32;44;44;,,,18;18;18;22;,,
17;22;25;37;44;44;,,,18;18;18;26;,,
17;25;26;26;44;44;,,,18;18;22;22;,,
17;25;26;28;44;44;,,,18;18;22;26;,,
17;25;26;32;44;44;,,,18;18;26;26;,,
17;25;26;36;44;44;,,,18;22;22;26;,,
17;25;26;37;44;44;,,,18;22;26;26;,,
17;25;28;32;44;44;,,,18;26;26;26;,,
17;25;28;37;44;44;,,,22;22;26;26;,,
17;25;32;32;44;44;,,,22;26;26;26;,,
17;25;32;36;44;44;,,,26;26;26;26;,,
17;25;32;37;44;44;,,,17;17;18;18;18;27;28;29;44;,,
17;25;36;37;44;44;,,,17;17;18;18;18;28;29;29;44;,,
17;25;37;37;44;44;,,,17;17;18;18;26;27;28;29;44;,,
18;18;19;19;44;44;,,,17;17;18;18;26;28;29;29;44;,,
18;18;19;25;44;44;,,,17;17;18;26;26;27;28;29;44;,,
18;19;19;22;44;44;,,,17;17;18;26;26;28;29;29;44;,,
18;19;19;26;44;44;,,,17;18;18;18;19;27;28;29;44;,,
18;19;19;28;44;44;,,,17;18;18;18;19;28;29;29;44;,,
18;19;19;32;44;44;,,,17;18;18;18;20;27;28;29;44;,,
18;19;19;36;44;44;,,,17;18;18;18;20;28;29;29;44;,,
18;19;19;37;44;44;,,,17;18;18;19;26;27;28;29;44;,,
18;19;25;26;44;44;,,,17;18;18;19;26;28;29;29;44;,,
18;19;25;28;44;44;,,,17;18;18;20;26;27;28;29;44;,,
18;19;25;32;44;44;,,,17;18;18;20;26;28;29;29;44;,,
18;19;25;36;44;44;,,,17;18;19;26;26;27;28;29;44;,,
18;19;25;37;44;44;,,,17;18;19;26;26;28;29;29;44;,,
19;19;22;26;44;44;,,,17;18;20;26;26;27;28;29;44;,,
19;19;22;32;44;44;,,,17;18;20;26;26;28;29;29;44;,,
19;19;22;37;44;44;,,,18;18;18;19;19;27;28;29;44;,,
19;19;26;26;44;44;,,,18;18;18;19;19;28;29;29;44;,,
19;19;26;28;44;44;,,,18;18;18;19;20;27;28;29;44;,,
19;19;26;32;44;44;,,,18;18;18;19;20;28;29;29;44;,,
19;19;26;36;44;44;,,,18;18;18;20;20;27;28;29;44;,,
19;19;26;37;44;44;,,,18;18;18;20;20;28;29;29;44;,,
19;19;28;32;44;44;,,,18;18;19;19;26;27;28;29;44;,,
19;19;28;37;44;44;,,,18;18;19;19;26;28;29;29;44;,,
19;19;32;32;44;44;,,,18;18;19;20;26;27;28;29;44;,,
19;19;32;36;44;44;,,,18;18;19;20;26;28;29;29;44;,,
19;19;32;37;44;44;,,,18;18;20;20;26;27;28;29;44;,,
19;19;36;37;44;44;,,,18;18;20;20;26;28;29;29;44;,,
19;19;37;37;44;44;,,,18;19;19;26;26;27;28;29;44;,,
19;22;25;26;44;44;,,,18;19;19;26;26;28;29;29;44;,,
19;22;25;32;44;44;,,,18;19;20;26;26;27;28;29;44;,,
19;22;25;37;44;44;,,,18;19;20;26;26;28;29;29;44;,,
19;25;26;26;44;44;,,,18;20;20;26;26;27;28;29;44;,,
19;25;26;28;44;44;,,,18;20;20;26;26;28;29;29;44;,,
19;25;26;32;44;44;,,,18;28;39;44;44;,,
19;25;26;36;44;44;,,,26;28;39;44;44;,,
19;25;26;37;44;44;,,,15;30;,,
19;25;28;32;44;44;,,,16;30;,,
19;25;28;37;44;44;,,,18;28;29;39;44;,,
19;25;32;32;44;44;,,,21;28;28;44;62;,,
19;25;32;36;44;44;,,,18;29;3;3;3;41;44;,,
19;25;32;37;44;44;,,,18;29;3;3;3;44;44;,,
19;25;36;37;44;44;,,,18;3;3;3;41;44;52;,,
19;25;37;37;44;44;,,,18;3;3;3;44;44;52;,,
17;17;18;18;18;18;18;28;29;44;44;,,,22;29;3;3;3;41;44;,,
17;17;18;18;18;18;26;28;29;44;44;,,,22;29;3;3;3;44;44;,,
17;17;18;18;18;26;26;28;29;44;44;,,,22;3;3;3;41;44;52;,,
17;17;18;18;26;26;26;28;29;44;44;,,,22;3;3;3;44;44;52;,,
17;17;18;26;26;26;26;28;29;44;44;,,,26;29;3;3;3;41;44;,,
17;18;18;18;18;18;19;28;29;44;44;,,,26;29;3;3;3;44;44;,,
17;18;18;18;18;18;20;28;29;44;44;,,,26;3;3;3;41;44;52;,,
17;18;18;18;18;19;26;28;29;44;44;,,,26;3;3;3;44;44;52;,,
17;18;18;18;18;20;26;28;29;44;44;,,,29;3;3;3;41;44;55;,,
17;18;18;18;19;26;26;28;29;44;44;,,,29;3;3;3;44;44;55;,,
17;18;18;18;20;26;26;28;29;44;44;,,,3;3;3;41;44;52;55;,,
17;18;18;19;26;26;26;28;29;44;44;,,,3;3;3;44;44;52;55;,,
17;18;18;20;26;26;26;28;29;44;44;,,,17;27;3;3;3;41;44;,,
17;18;19;26;26;26;26;28;29;44;44;,,,17;27;3;3;3;44;44;,,
17;18;20;26;26;26;26;28;29;44;44;,,,17;29;3;3;3;41;44;,,
18;18;18;18;18;19;20;28;29;44;44;,,,19;27;3;3;3;41;44;,,
18;18;18;18;19;20;26;28;29;44;44;,,,19;27;3;3;3;44;44;,,
18;18;18;19;20;26;26;28;29;44;44;,,,19;29;3;3;3;41;44;,,
18;18;19;20;26;26;26;28;29;44;44;,,,20;27;3;3;3;41;44;,,
18;19;20;26;26;26;26;28;29;44;44;,,,20;27;3;3;3;44;44;,,
18;18;18;18;26;26;29;29;29;29;,,,20;29;3;3;3;41;44;,,
18;18;18;18;26;26;29;29;29;42;,,,25;27;3;3;3;41;44;,,
18;18;18;18;26;26;29;29;29;43;,,,25;27;3;3;3;44;44;,,
18;18;18;18;26;26;29;29;29;67;,,,25;29;3;3;3;41;44;,,
18;18;18;18;26;26;29;29;42;42;,,,18;20;28;29;3;3;3;3;3;44;,,
18;18;18;18;26;26;29;29;42;43;,,,17;18;27;28;29;3;3;3;3;3;41;44;44;,,
18;18;18;18;26;26;29;29;42;67;,,,18;18;28;3;44;,,
18;18;18;18;26;26;29;29;43;43;,,,18;26;28;3;44;,,
18;18;18;18;26;26;29;29;43;67;,,,17;18;27;29;3;41;44;44;,,
18;18;18;18;26;26;29;29;67;67;,,,18;19;27;29;3;41;44;44;,,
18;18;18;18;26;26;29;42;42;42;,,,17;25;29;3;44;,,
18;18;18;18;26;26;29;42;42;43;,,,19;19;27;29;3;41;44;,,
18;18;18;18;26;26;29;42;42;67;,,,22;26;29;3;3;,,
18;18;18;18;26;26;29;42;43;43;,,,19;26;27;3;3;4;41;,,
18;18;18;18;26;26;29;42;43;67;,,,18;25;28;3;3;3;3;44;,,
18;18;18;18;26;26;29;42;67;67;,,,22;25;28;3;3;3;3;44;,,
18;18;18;18;26;26;29;43;43;43;,,,25;26;28;3;3;3;3;44;,,
18;18;18;18;26;26;29;43;43;67;,,,25;28;3;3;3;3;44;55;,,
18;18;18;18;26;26;29;43;67;67;,,,17;22;27;3;3;3;3;44;,,
18;18;18;18;26;26;29;67;67;67;,,,19;22;27;3;3;3;3;44;,,
18;18;18;18;26;26;42;42;42;42;,,,20;22;27;3;3;3;3;44;,,
18;18;18;18;26;26;42;42;42;43;,,,22;25;27;3;3;3;3;44;,,
18;18;18;18;26;26;42;42;42;67;,,,18;22;28;3;,,
18;18;18;18;26;26;42;42;43;43;,,,18;26;28;3;,,
18;18;18;18;26;26;42;42;43;67;,,,22;26;28;3;,,
18;18;18;18;26;26;42;42;67;67;,,,26;26;28;3;,,
18;18;18;18;26;26;42;43;43;43;,,,17;17;28;3;31;44;,,
18;18;18;18;26;26;42;43;43;67;,,,17;17;28;3;34;44;,,
18;18;18;18;26;26;42;43;67;67;,,,17;17;28;3;39;44;,,
18;18;18;18;26;26;42;67;67;67;,,,17;17;28;3;40;44;,,
18;18;18;18;26;26;43;43;43;43;,,,17;19;28;3;31;44;,,
18;18;18;18;26;26;43;43;43;67;,,,17;19;28;3;34;44;,,
18;18;18;18;26;26;43;43;67;67;,,,17;19;28;3;39;44;,,
18;18;18;18;26;26;43;67;67;67;,,,17;19;28;3;40;44;,,
18;18;18;18;26;26;67;67;67;67;,,,19;19;28;3;31;44;,,
17;17;18;18;26;26;29;29;29;29;44;44;,,,19;19;28;3;34;44;,,
17;17;18;18;26;26;29;29;29;42;44;44;,,,19;19;28;3;39;44;,,
17;17;18;18;26;26;29;29;29;43;44;44;,,,19;19;28;3;40;44;,,
17;17;18;18;26;26;29;29;29;44;44;67;,,,18;22;3;31;44;,,
17;17;18;18;26;26;29;29;42;42;44;44;,,,18;22;3;39;44;,,
17;17;18;18;26;26;29;29;42;43;44;44;,,,18;22;3;44;53;,,
17;17;18;18;26;26;29;29;42;44;44;67;,,,18;22;3;44;62;,,
17;17;18;18;26;26;29;29;43;43;44;44;,,,18;26;3;31;44;,,
17;17;18;18;26;26;29;29;43;44;44;67;,,,18;26;3;39;44;,,
17;17;18;18;26;26;29;29;44;44;67;67;,,,18;26;3;44;53;,,
17;17;18;18;26;26;29;42;42;42;44;44;,,,18;26;3;44;62;,,
17;17;18;18;26;26;29;42;42;43;44;44;,,,22;26;3;31;44;,,
17;17;18;18;26;26;29;42;42;44;44;67;,,,22;26;3;39;44;,,
17;17;18;18;26;26;29;42;43;43;44;44;,,,22;26;3;44;53;,,
17;17;18;18;26;26;29;42;43;44;44;67;,,,22;26;3;44;62;,,
17;17;18;18;26;26;29;42;44;44;67;67;,,,26;26;3;31;44;,,
17;17;18;18;26;26;29;43;43;43;44;44;,,,26;26;3;39;44;,,
17;17;18;18;26;26;29;43;43;44;44;67;,,,26;26;3;44;53;,,
17;17;18;18;26;26;29;43;44;44;67;67;,,,26;26;3;44;62;,,
17;17;18;18;26;26;29;44;44;67;67;67;,,,17;17;3;31;44;,,
17;17;18;18;26;26;42;42;42;42;44;44;,,,17;17;3;34;44;,,
17;17;18;18;26;26;42;42;42;43;44;44;,,,17;17;3;39;44;,,
17;17;18;18;26;26;42;42;42;44;44;67;,,,17;17;3;40;44;,,
17;17;18;18;26;26;42;42;43;43;44;44;,,,17;19;3;31;44;,,
17;17;18;18;26;26;42;42;43;44;44;67;,,,17;19;3;34;44;,,
17;17;18;18;26;26;42;42;44;44;67;67;,,,17;19;3;39;44;,,
17;17;18;18;26;26;42;43;43;43;44;44;,,,17;19;3;40;44;,,
17;17;18;18;26;26;42;43;43;44;44;67;,,,19;19;3;31;44;,,
17;17;18;18;26;26;42;43;44;44;67;67;,,,19;19;3;34;44;,,
17;17;18;18;26;26;42;44;44;67;67;67;,,,19;19;3;39;44;,,
17;17;18;18;26;26;43;43;43;43;44;44;,,,19;19;3;40;44;,,
17;17;18;18;26;26;43;43;43;44;44;67;,,,17;17;29;39;44;44;44;,,
17;17;18;18;26;26;43;43;44;44;67;67;,,,17;17;29;3;39;44;44;,,
17;17;18;18;26;26;43;44;44;67;67;67;,,,17;19;29;39;44;44;44;,,
17;17;18;18;26;26;44;44;67;67;67;67;,,,17;19;29;3;39;44;44;,,
18;26;26;8;,,,19;19;29;39;44;44;44;,,
18;19;19;44;44;8;,,,19;19;29;3;39;44;44;,,
18;26;26;28;8;,,,17;18;28;44;,,
18;19;19;28;44;44;8;,,,17;26;28;44;,,
17;31;44;44;44;,,,18;19;28;44;,,
17;31;44;44;46;,,,18;25;28;44;,,
17;31;44;46;46;,,,19;26;28;44;,,
17;34;44;44;44;,,,25;26;28;44;,,
17;34;44;44;46;,,,18;18;39;,,
17;34;44;46;46;,,,18;22;39;,,
17;39;44;44;44;,,,18;26;39;,,
17;39;44;44;46;,,,22;22;39;,,
17;39;44;46;46;,,,22;26;39;,,
17;3;31;44;44;,,,26;26;39;,,
17;3;31;44;46;,,,22;25;28;44;,,
17;3;34;44;44;,,,17;19;39;39;44;,,
17;3;34;44;46;,,,18;18;28;28;39;44;,,
17;3;39;44;44;,,,18;22;28;28;39;44;,,
17;3;39;44;46;,,,18;26;28;28;39;44;,,
17;3;3;31;44;,,,22;26;28;28;39;44;,,
17;3;3;34;44;,,,26;26;28;28;39;44;,,
17;3;3;39;44;,,,17;18;28;29;31;44;,,
19;31;44;44;44;,,,17;26;28;29;31;44;,,
19;31;44;44;46;,,,18;19;28;29;31;44;,,
19;31;44;46;46;,,,18;20;28;29;31;44;,,
19;34;44;44;44;,,,19;26;28;29;31;44;,,
19;34;44;44;46;,,,20;26;28;29;31;44;,,
19;34;44;46;46;,,,17;18;19;19;28;31;39;44;,,
19;39;44;44;44;,,,11;18;18;19;44;44;,,
19;39;44;44;46;,,,11;18;18;25;44;44;,,
19;39;44;46;46;,,,11;18;19;26;44;44;,,
19;3;31;44;44;,,,11;18;25;26;44;44;,,
19;3;31;44;46;,,,11;19;26;26;44;44;,,
19;3;34;44;44;,,,11;25;26;26;44;44;,,
19;3;34;44;46;,,,18;18;19;44;44;72;,,
19;3;39;44;44;,,,18;18;25;44;44;72;,,
19;3;39;44;46;,,,18;19;26;44;44;72;,,
19;3;3;31;44;,,,18;25;26;44;44;72;,,
19;3;3;34;44;,,,19;26;26;44;44;72;,,
19;3;3;39;44;,,,25;26;26;44;44;72;,,
18;19;19;19;28;3;3;31;,,,11;17;17;17;44;44;,,
18;19;19;19;28;3;3;34;,,,11;17;17;19;44;44;,,
18;19;19;19;28;3;3;39;,,,11;17;19;19;44;44;,,
19;19;19;19;29;3;3;31;44;44;,,,11;19;19;19;44;44;,,
19;19;19;19;29;3;3;34;44;44;,,,17;17;17;44;44;8;,,
19;19;19;19;29;3;3;39;44;44;,,,17;17;19;44;44;8;,,
18;4;,,,17;19;19;44;44;8;,,
22;4;,,,19;19;19;44;44;8;,,
26;4;,,,1;18;22;3;44;,,
17;31;44;,,,1;18;26;3;44;,,
17;34;44;,,,1;22;26;3;44;,,
17;39;44;,,,1;26;26;3;44;,,
19;31;44;,,,1;17;17;3;44;,,
19;34;44;,,,1;17;19;3;44;,,
19;39;44;,,,1;19;19;3;44;,,
25;31;44;,,,11;17;19;27;44;,,
25;34;44;,,,11;19;19;27;44;,,
25;39;44;,,,17;19;29;44;8;,,
18;36;,,,19;19;29;44;8;,,
26;36;,,,11;18;18;19;28;44;44;,,
17;39;44;44;,,,11;18;18;25;28;44;44;,,
19;39;44;44;,,,11;18;19;26;28;44;44;,,
11;19;3;3;3;39;44;8;,,,11;18;25;26;28;44;44;,,
17;17;17;18;37;44;,,,18;18;19;28;44;44;47;,,
17;17;17;18;3;37;,,,18;18;19;28;44;44;66;,,
17;17;17;26;37;44;,,,18;18;25;28;44;44;47;,,
17;17;17;26;3;37;,,,18;18;25;28;44;44;66;,,
17;17;18;19;37;44;,,,18;19;26;28;44;44;47;,,
17;17;18;19;3;37;,,,18;19;26;28;44;44;66;,,
17;17;18;20;37;44;,,,18;25;26;28;44;44;47;,,
17;17;18;20;3;37;,,,18;25;26;28;44;44;66;,,
17;17;19;26;37;44;,,,17;17;18;39;43;44;,,
17;17;19;26;3;37;,,,17;17;18;39;44;57;,,
17;17;20;26;37;44;,,,17;17;18;39;44;7;,,
17;17;20;26;3;37;,,,17;17;18;39;44;8;,,
17;18;19;19;37;44;,,,17;18;19;39;43;44;,,
17;18;19;19;3;37;,,,17;18;19;39;44;57;,,
17;18;19;20;37;44;,,,17;18;19;39;44;7;,,
17;18;19;20;3;37;,,,17;18;19;39;44;8;,,
17;18;20;20;37;44;,,,18;19;19;39;43;44;,,
17;18;20;20;3;37;,,,18;19;19;39;44;57;,,
17;19;19;26;37;44;,,,18;19;19;39;44;7;,,
17;19;19;26;3;37;,,,18;19;19;39;44;8;,,
17;19;20;26;37;44;,,,11;17;18;18;19;28;44;44;,,
17;19;20;26;3;37;,,,11;17;18;18;25;28;44;44;,,
17;20;20;26;37;44;,,,11;17;18;19;26;28;44;44;,,
17;20;20;26;3;37;,,,11;17;18;25;26;28;44;44;,,
18;19;19;19;37;44;,,,11;18;18;19;19;28;44;44;,,
18;19;19;19;3;37;,,,11;18;18;19;25;28;44;44;,,
18;19;19;20;37;44;,,,11;18;19;19;26;28;44;44;,,
18;19;19;20;3;37;,,,11;18;19;25;26;28;44;44;,,
18;19;20;20;37;44;,,,17;18;18;19;28;44;44;47;,,
18;19;20;20;3;37;,,,17;18;18;25;28;44;44;47;,,
18;20;20;20;37;44;,,,17;18;19;26;28;44;44;47;,,
18;20;20;20;3;37;,,,17;18;25;26;28;44;44;47;,,
19;19;19;26;37;44;,,,18;18;19;19;28;44;44;47;,,
19;19;19;26;3;37;,,,18;18;19;25;28;44;44;47;,,
19;19;20;26;37;44;,,,18;19;19;26;28;44;44;47;,,
19;19;20;26;3;37;,,,18;19;25;26;28;44;44;47;,,
19;20;20;26;37;44;,,,17;17;17;18;39;44;57;,,
19;20;20;26;3;37;,,,17;17;17;18;39;44;8;,,
20;20;20;26;37;44;,,,17;17;18;19;39;44;57;,,
20;20;20;26;3;37;,,,17;17;18;19;39;44;8;,,
17;17;17;18;28;39;44;44;44;,,,17;18;19;19;39;44;57;,,
17;17;17;18;28;3;39;44;44;,,,17;18;19;19;39;44;8;,,
17;17;17;26;28;39;44;44;44;,,,18;19;19;19;39;44;57;,,
17;17;17;26;28;3;39;44;44;,,,18;19;19;19;39;44;8;,,
17;17;18;19;28;39;44;44;44;,,,27;3;3;3;3;3;44;66;,,
17;17;18;19;28;3;39;44;44;,,,27;3;3;3;3;3;44;69;,,
17;17;18;20;28;39;44;44;44;,,,27;3;3;3;3;3;44;77;,,
17;17;18;20;28;3;39;44;44;,,,27;3;3;3;3;42;44;66;,,
17;17;19;26;28;39;44;44;44;,,,27;3;3;3;3;42;44;69;,,
17;17;19;26;28;3;39;44;44;,,,27;3;3;3;3;42;44;77;,,
17;17;20;26;28;39;44;44;44;,,,27;3;3;3;3;43;44;66;,,
17;17;20;26;28;3;39;44;44;,,,27;3;3;3;3;43;44;69;,,
17;18;19;19;28;39;44;44;44;,,,27;3;3;3;3;43;44;77;,,
17;18;19;19;28;3;39;44;44;,,,27;3;3;3;3;44;44;66;,,
17;18;19;20;28;39;44;44;44;,,,27;3;3;3;3;44;44;69;,,
17;18;19;20;28;3;39;44;44;,,,27;3;3;3;3;44;44;77;,,
17;18;20;20;28;39;44;44;44;,,,27;3;3;3;3;44;66;67;,,
17;18;20;20;28;3;39;44;44;,,,27;3;3;3;3;44;67;69;,,
17;19;19;26;28;39;44;44;44;,,,27;3;3;3;3;44;67;77;,,
17;19;19;26;28;3;39;44;44;,,,27;3;3;3;42;42;44;66;,,
17;19;20;26;28;39;44;44;44;,,,27;3;3;3;42;42;44;69;,,
17;19;20;26;28;3;39;44;44;,,,27;3;3;3;42;42;44;77;,,
17;20;20;26;28;39;44;44;44;,,,27;3;3;3;42;43;44;66;,,
17;20;20;26;28;3;39;44;44;,,,27;3;3;3;42;43;44;69;,,
18;19;19;19;28;39;44;44;44;,,,27;3;3;3;42;43;44;77;,,
18;19;19;19;28;3;39;44;44;,,,27;3;3;3;42;44;44;66;,,
18;19;19;20;28;39;44;44;44;,,,27;3;3;3;42;44;44;69;,,
18;19;19;20;28;3;39;44;44;,,,27;3;3;3;42;44;44;77;,,
18;19;20;20;28;39;44;44;44;,,,27;3;3;3;42;44;66;67;,,
18;19;20;20;28;3;39;44;44;,,,27;3;3;3;42;44;67;69;,,
18;20;20;20;28;39;44;44;44;,,,27;3;3;3;42;44;67;77;,,
18;20;20;20;28;3;39;44;44;,,,27;3;3;3;43;43;44;66;,,
19;19;19;26;28;39;44;44;44;,,,27;3;3;3;43;43;44;69;,,
19;19;19;26;28;3;39;44;44;,,,27;3;3;3;43;43;44;77;,,
19;19;20;26;28;39;44;44;44;,,,27;3;3;3;43;44;44;66;,,
19;19;20;26;28;3;39;44;44;,,,27;3;3;3;43;44;44;69;,,
19;20;20;26;28;39;44;44;44;,,,27;3;3;3;43;44;44;77;,,
19;20;20;26;28;3;39;44;44;,,,27;3;3;3;43;44;66;67;,,
20;20;20;26;28;39;44;44;44;,,,27;3;3;3;43;44;67;69;,,
20;20;20;26;28;3;39;44;44;,,,27;3;3;3;43;44;67;77;,,
3;31;44;44;,,,27;3;3;3;44;44;44;66;,,
17;3;32;34;,,,27;3;3;3;44;44;44;69;,,
17;3;34;34;44;,,,27;3;3;3;44;44;44;77;,,
17;17;3;3;34;34;,,,27;3;3;3;44;44;66;67;,,
17;19;3;3;34;34;,,,27;3;3;3;44;44;67;69;,,
17;20;3;3;34;34;,,,27;3;3;3;44;44;67;77;,,
19;19;3;3;34;34;,,,27;3;3;3;44;66;67;67;,,
19;20;3;3;34;34;,,,27;3;3;3;44;67;67;69;,,
20;20;3;3;34;34;,,,27;3;3;3;44;67;67;77;,,
17;17;18;3;3;31;44;44;5;,,,27;3;3;42;42;42;44;66;,,
17;18;19;3;3;31;44;44;5;,,,27;3;3;42;42;42;44;69;,,
17;18;20;3;3;31;44;44;5;,,,27;3;3;42;42;42;44;77;,,
17;18;25;3;3;31;44;44;5;,,,27;3;3;42;42;43;44;66;,,
18;19;19;3;3;31;44;44;5;,,,27;3;3;42;42;43;44;69;,,
18;19;20;3;3;31;44;44;5;,,,27;3;3;42;42;43;44;77;,,
18;19;25;3;3;31;44;44;5;,,,27;3;3;42;42;44;44;66;,,
18;20;25;3;3;31;44;44;5;,,,27;3;3;42;42;44;44;69;,,
17;17;3;3;31;34;44;44;,,,27;3;3;42;42;44;44;77;,,
17;19;3;3;31;34;44;44;,,,27;3;3;42;42;44;66;67;,,
17;20;3;3;31;34;44;44;,,,27;3;3;42;42;44;67;69;,,
17;25;3;3;31;34;44;44;,,,27;3;3;42;42;44;67;77;,,
19;19;3;3;31;34;44;44;,,,27;3;3;42;43;43;44;66;,,
19;20;3;3;31;34;44;44;,,,27;3;3;42;43;43;44;69;,,
19;25;3;3;31;34;44;44;,,,27;3;3;42;43;43;44;77;,,
20;25;3;3;31;34;44;44;,,,27;3;3;42;43;44;44;66;,,
18;18;18;18;31;,,,27;3;3;42;43;44;44;69;,,
18;18;18;18;34;,,,27;3;3;42;43;44;44;77;,,
18;18;18;18;39;,,,27;3;3;42;43;44;66;67;,,
18;18;18;26;31;,,,27;3;3;42;43;44;67;69;,,
18;18;18;26;34;,,,27;3;3;42;43;44;67;77;,,
18;18;18;26;39;,,,27;3;3;42;44;44;44;66;,,
18;18;26;26;31;,,,27;3;3;42;44;44;44;69;,,
18;18;26;26;34;,,,27;3;3;42;44;44;44;77;,,
18;18;26;26;39;,,,27;3;3;42;44;44;66;67;,,
18;26;26;26;31;,,,27;3;3;42;44;44;67;69;,,
18;26;26;26;34;,,,27;3;3;42;44;44;67;77;,,
18;26;26;26;39;,,,27;3;3;42;44;66;67;67;,,
17;17;17;18;28;44;44;44;,,,27;3;3;42;44;67;67;69;,,
17;17;18;19;28;44;44;44;,,,27;3;3;42;44;67;67;77;,,
17;18;19;19;28;44;44;44;,,,27;3;3;43;43;43;44;66;,,
18;19;19;19;28;44;44;44;,,,27;3;3;43;43;43;44;69;,,
18;26;3;,,,27;3;3;43;43;43;44;77;,,
18;3;37;,,,27;3;3;43;43;44;44;66;,,
26;26;3;,,,27;3;3;43;43;44;44;69;,,
26;3;37;,,,27;3;3;43;43;44;44;77;,,
17;19;3;44;44;,,,27;3;3;43;43;44;66;67;,,
19;19;3;44;44;,,,27;3;3;43;43;44;67;69;,,
19;22;28;31;44;,,,27;3;3;43;43;44;67;77;,,
19;22;28;39;44;,,,27;3;3;43;44;44;44;66;,,
19;26;28;31;44;,,,27;3;3;43;44;44;44;69;,,
19;26;28;39;44;,,,27;3;3;43;44;44;44;77;,,
22;26;28;31;44;,,,27;3;3;43;44;44;66;67;,,
22;26;28;39;44;,,,27;3;3;43;44;44;67;69;,,
22;28;31;44;44;,,,27;3;3;43;44;44;67;77;,,
22;28;39;44;44;,,,27;3;3;43;44;66;67;67;,,
26;26;28;31;44;,,,27;3;3;43;44;67;67;69;,,
26;26;28;39;44;,,,27;3;3;43;44;67;67;77;,,
26;28;31;44;44;,,,27;3;3;44;44;44;44;66;,,
26;28;39;44;44;,,,27;3;3;44;44;44;44;69;,,
19;19;31;44;,,,27;3;3;44;44;44;44;77;,,
19;19;34;44;,,,27;3;3;44;44;44;66;67;,,
19;25;31;44;,,,27;3;3;44;44;44;67;69;,,
19;25;34;44;,,,27;3;3;44;44;44;67;77;,,
19;26;31;44;,,,27;3;3;44;44;66;67;67;,,
19;26;34;44;,,,27;3;3;44;44;67;67;69;,,
19;31;44;44;,,,27;3;3;44;44;67;67;77;,,
19;34;44;44;,,,27;3;3;44;66;67;67;67;,,
25;26;31;44;,,,27;3;3;44;67;67;67;69;,,
25;26;34;44;,,,27;3;3;44;67;67;67;77;,,
25;31;44;44;,,,3;3;3;3;3;3;44;66;,,
25;34;44;44;,,,3;3;3;3;3;3;44;69;,,
18;18;18;18;28;28;,,,3;3;3;3;3;3;44;77;,,
18;18;18;18;29;29;44;44;,,,3;3;3;3;3;42;44;66;,,
28;28;3;3;3;3;3;,,,3;3;3;3;3;42;44;69;,,
18;4;44;44;5;,,,3;3;3;3;3;42;44;77;,,
18;4;4;5;,,,3;3;3;3;3;43;44;66;,,
18;18;39;39;44;44;44;44;,,,3;3;3;3;3;43;44;69;,,
18;29;39;39;44;44;44;44;,,,3;3;3;3;3;43;44;77;,,
29;29;39;39;44;44;44;44;,,,3;3;3;3;3;44;44;66;,,
18;29;37;37;,,,3;3;3;3;3;44;44;69;,,
29;29;37;37;,,,3;3;3;3;3;44;44;77;,,
18;18;31;44;,,,3;3;3;3;3;44;66;67;,,
