EC1,EC2,EC3,EC4,EC5,EC6
29;3;3;3;3;3;3;44;44;44;,18;28;3;31;31;44;44;8;,18;28;28;29;3;3;3;3;3;3;31;44;44;,17;3;39;44;44;5;,17;17;18;19;27;29;3;3;44;,18;25;26;26;28;3;44;
17;17;17;18;28;29;3;44;,18;28;3;31;39;44;44;8;,18;28;28;29;3;3;3;3;3;3;39;44;44;,17;3;39;44;5;5;,17;17;19;26;27;3;3;4;44;,18;25;26;26;28;44;44;
17;17;17;18;28;29;44;44;,18;28;3;3;31;44;44;8;,18;28;28;29;3;3;3;3;3;3;44;44;62;,17;3;3;39;44;44;,17;17;27;27;3;,18;25;26;26;28;44;8;
17;17;17;22;28;29;3;44;,18;28;3;3;39;44;44;8;,18;28;28;29;3;3;3;3;3;44;44;5;62;,17;3;3;39;44;5;,18;19;28;41;,19;26;26;26;28;3;44;
17;17;17;22;28;29;44;44;,26;28;3;3;34;39;44;44;,18;28;28;29;3;3;3;3;44;44;5;5;62;,17;3;3;3;39;44;,19;26;28;41;,19;26;26;26;28;44;44;
17;17;17;26;28;29;3;44;,26;28;3;31;44;,26;28;28;29;3;3;3;3;31;44;44;5;5;,17;3;3;3;40;44;,18;22;27;41;,19;26;26;26;28;44;8;
17;17;17;26;28;29;44;44;,18;18;27;28;3;,26;28;28;29;3;3;3;3;39;44;44;5;5;,17;3;3;40;44;44;,22;26;27;41;,25;26;26;26;28;3;44;
17;17;18;19;28;29;3;44;,18;18;27;28;41;,26;28;28;29;3;3;3;3;3;31;44;44;5;,17;3;3;40;44;5;,17;27;27;29;3;3;41;44;,25;26;26;26;28;44;44;
17;17;18;19;28;29;44;44;,18;18;28;31;41;,26;28;28;29;3;3;3;3;3;39;44;44;5;,17;3;40;44;44;44;,19;27;27;29;3;3;41;44;,25;26;26;26;28;44;8;
17;17;18;20;28;29;3;44;,18;18;28;3;31;,26;28;28;29;3;3;3;3;3;3;31;44;44;,17;3;40;44;44;5;,20;27;27;29;3;3;41;44;,
17;17;18;20;28;29;44;44;,18;27;28;29;3;,26;28;28;29;3;3;3;3;3;3;39;44;44;,17;3;40;44;5;5;,17;27;29;3;41;44;,
17;17;18;25;28;29;3;44;,18;27;28;29;41;,26;28;28;29;3;3;3;3;3;3;44;44;62;,19;3;39;44;44;44;,19;27;29;3;41;44;,
17;17;18;25;28;29;44;44;,18;27;28;3;3;,26;28;28;29;3;3;3;3;3;44;44;5;62;,19;3;39;44;44;5;,20;27;29;3;41;44;,
